iter	RMSE
0	93634.0546
1	88976.87789
2	84797.50895
3	81436.93847
4	78956.49156
5	75865.89284
6	73902.80158
7	71647.64539
8	70125.45862
9	68784.66635
10	67103.97073
11	66009.85115
12	65088.18653
13	62759.32881
14	61951.47099
15	60488.37282
16	59179.18921
17	58610.10053
18	57459.22936
19	57012.18664
20	56103.31115
21	54868.13887
22	54500.75198
23	54167.52265
24	52826.77638
25	52202.27097
26	51951.07342
27	50858.01434
28	50463.17715
29	49979.46385
30	49661.33919
31	49454.71728
32	49191.94309
33	48573.3251
34	48438.61851
35	47754.37025
36	47535.03532
37	47336.13315
38	47200.84793
39	46919.80527
40	46324.67728
41	46190.4154
42	45928.19442
43	45815.08938
44	45739.03628
45	45323.52796
46	44999.81938
47	44881.68533
48	44738.52683
49	44611.52622
50	44276.41927
51	44131.31043
52	44033.34348
53	43699.53658
54	43590.60258
55	43494.33845
56	43210.33845
57	43055.24554
58	42681.51037
59	42556.55827
60	42320.29899
61	42238.96607
62	42155.32176
63	42043.73451
64	41983.95515
65	41942.88106
66	41849.9387
67	41698.04684
68	41592.47277
69	41542.41429
70	41409.48215
71	41363.51445
72	41292.8387
73	41100.74835
74	41037.93114
75	40921.39987
76	40824.55438
77	40785.99238
78	40738.23839
79	40661.35735
80	40593.08518
81	40530.12665
82	40452.52104
83	40371.5756
84	40321.31833
85	40298.99344
86	40197.11041
87	40136.49352
88	40103.15217
89	40074.07372
90	40008.88688
91	39888.49444
92	39824.79094
93	39540.96598
94	39506.67928
95	39459.53843
96	39392.63882
97	39326.91607
98	39281.82405
99	39251.3505
100	39134.86594
101	39092.9459
102	39068.59093
103	39021.18026
104	38985.28627
105	38900.36396
106	38851.91602
107	38815.41482
108	38775.18305
109	38749.40453
110	38726.52309
111	38688.55796
112	38660.74438
113	38623.71053
114	38562.91425
115	38505.43905
116	38477.19515
117	38440.90422
118	38191.68455
119	38168.91652
120	38135.01381
121	38106.00797
122	38059.59526
123	38032.9373
124	38012.68118
125	37989.73048
126	37773.60358
127	37763.18994
128	37744.05786
129	37713.3136
130	37528.2876
131	37497.16997
132	37474.66898
133	37389.44223
134	37365.26082
135	37324.4579
136	37287.60397
137	37254.9247
138	37211.51417
139	37185.00777
140	37039.99469
141	37005.27821
142	36979.85057
143	36958.52218
144	36921.40937
145	36889.75107
146	36762.88766
147	36745.69442
148	36737.83942
149	36716.00007
150	36674.29278
151	36636.75428
152	36529.67948
153	36519.60699
154	36487.90827
155	36458.36788
156	36436.31267
157	36424.00069
158	36399.63655
159	36379.40652
160	36352.7208
161	36339.43386
162	36327.15333
163	36299.24962
164	36287.61169
165	36280.74392
166	36256.33535
167	36235.32913
168	36222.27519
169	36207.76715
170	36175.11163
171	36158.89185
172	36067.65971
173	36042.64003
174	36005.183
175	35991.95756
176	35975.12051
177	35959.8246
178	35947.0875
179	35931.29303
180	35920.11575
181	35908.24962
182	35874.60196
183	35849.53326
184	35832.07127
185	35809.87656
186	35797.22309
187	35718.45004
188	35698.69948
189	35680.49207
190	35666.41559
191	35650.71675
192	35642.99757
193	35632.54954
194	35620.6413
195	35613.90495
196	35607.40285
197	35603.37692
198	35534.43039
199	35514.96969
200	35490.27002
201	35432.79366
202	35417.26101
203	35407.97742
204	35379.15163
205	35366.29865
206	35358.27163
207	35340.87329
208	35322.2349
209	35306.94167
210	35260.44651
211	35243.87501
212	35232.91771
213	35220.00713
214	35212.49014
215	35201.06841
216	35195.01102
217	35186.28724
218	35176.51057
219	35164.62595
220	35158.04401
221	35145.05839
222	35137.17251
223	35131.50363
224	35090.06054
225	35063.94857
226	35053.50778
227	35043.80953
228	35037.11492
229	35016.46337
230	35008.84729
231	35004.82662
232	34985.69527
233	34975.20392
234	34940.76701
235	34928.38737
236	34918.68909
237	34914.03484
238	34908.6124
239	34900.31988
240	34872.7403
241	34863.9493
242	34846.80298
243	34839.68401
244	34831.81967
245	34813.90267
246	34793.60745
247	34787.69878
248	34780.03049
249	34770.14354
250	34756.42875
251	34749.97114
252	34742.64518
253	34731.61815
254	34721.20397
255	34713.47842
256	34707.7842
257	34702.14661
258	34694.26404
259	34689.35576
260	34682.96219
261	34675.61231
262	34667.19444
263	34650.84966
264	34637.90608
265	34628.53311
266	34625.87559
267	34620.50364
268	34613.37877
269	34589.75773
270	34581.32334
271	34564.90667
272	34559.20132
273	34553.86028
274	34546.71992
275	34538.05459
276	34528.5545
277	34523.82784
278	34519.22528
279	34508.87398
280	34503.72925
281	34496.29384
282	34490.23241
283	34484.22947
284	34474.73152
285	34469.43387
286	34449.13405
287	34443.95456
288	34433.87117
289	34430.92572
290	34427.55909
291	34424.01305
292	34409.68069
293	34402.96533
294	34394.92428
295	34386.99164
296	34383.67909
297	34378.42623
298	34360.96125
299	34358.67463
