iter	Passed	Remaining
0	52	15742
1	102	15267
2	154	15260
3	207	15321
4	257	15168
5	306	15041
6	361	15145
7	416	15209
8	468	15151
9	520	15104
10	578	15197
11	633	15212
12	688	15197
13	744	15213
14	798	15175
15	855	15186
16	913	15200
17	970	15204
18	1022	15120
19	1079	15115
20	1135	15087
21	1190	15045
22	1249	15046
23	1302	14983
24	1360	14961
25	1413	14901
26	1469	14858
27	1524	14804
28	1579	14760
29	1631	14686
30	1688	14653
31	1739	14570
32	1797	14543
33	1852	14493
34	1907	14445
35	1963	14399
36	2012	14304
37	2066	14250
38	2118	14180
39	2167	14090
40	2215	13997
41	2270	13948
42	2318	13858
43	2369	13786
44	2422	13729
45	2467	13622
46	2519	13559
47	2569	13491
48	2618	13414
49	2671	13357
50	2717	13268
51	2765	13188
52	2817	13129
53	2870	13075
54	2918	13001
55	2973	12957
56	3026	12903
57	3074	12828
58	3126	12772
59	3177	12710
60	3228	12649
61	3282	12599
62	3334	12544
63	3387	12492
64	3433	12413
65	3482	12346
66	3532	12283
67	3580	12216
68	3629	12151
69	3681	12097
70	3729	12028
71	3779	11967
72	3828	11904
73	3877	11842
74	3927	11782
75	3974	11714
76	4023	11652
77	4073	11594
78	4122	11532
79	4175	11482
80	4230	11438
81	4280	11381
82	4333	11329
83	4386	11280
84	4444	11242
85	4497	11191
86	4545	11127
87	4592	11064
88	4641	11003
89	4687	10937
90	4737	10880
91	4794	10839
92	4842	10777
93	4892	10721
94	4943	10666
95	4992	10609
96	5054	10577
97	5103	10518
98	5152	10460
99	5202	10405
100	5264	10372
101	5315	10318
102	5365	10261
103	5412	10201
104	5461	10143
105	5514	10092
106	5566	10040
107	5616	9984
108	5675	9945
109	5732	9901
110	5788	9856
111	5838	9799
112	5886	9740
113	5934	9682
114	5987	9632
115	6051	9598
116	6104	9547
117	6151	9488
118	6206	9439
119	6262	9393
120	6316	9344
121	6366	9289
122	6415	9232
123	6467	9179
124	6515	9121
125	6564	9065
126	6620	9018
127	6666	8958
128	6719	8907
129	6772	8856
130	6830	8811
131	6879	8755
132	6934	8706
133	6981	8648
134	7040	8605
135	7097	8559
136	7151	8509
137	7201	8454
138	7261	8410
139	7310	8354
140	7363	8303
141	7419	8255
142	7473	8205
143	7526	8153
144	7588	8111
145	7642	8061
146	7693	8007
147	7742	7951
148	7795	7900
149	7847	7847
150	7910	7805
151	7964	7755
152	8015	7701
153	8062	7643
154	8115	7591
155	8167	7539
156	8226	7493
157	8275	7437
158	8324	7381
159	8379	7332
160	8436	7283
161	8483	7226
162	8537	7175
163	8590	7124
164	8639	7068
165	8690	7015
166	8746	6966
167	8804	6918
168	8853	6862
169	8911	6814
170	8964	6763
171	9018	6711
172	9070	6658
173	9124	6607
174	9186	6561
175	9243	6512
176	9298	6461
177	9357	6413
178	9406	6358
179	9459	6306
180	9514	6255
181	9564	6200
182	9622	6152
183	9678	6101
184	9735	6052
185	9788	5999
186	9839	5945
187	9890	5892
188	9947	5842
189	10004	5792
190	10059	5741
191	10107	5685
192	10155	5630
193	10202	5574
194	10254	5521
195	10308	5469
196	10363	5418
197	10416	5366
198	10475	5316
199	10529	5264
200	10579	5210
201	10633	5158
202	10680	5103
203	10728	5048
204	10785	4998
205	10839	4946
206	10895	4895
207	10950	4843
208	11001	4789
209	11052	4736
210	11104	4683
211	11157	4631
212	11205	4577
213	11254	4523
214	11308	4470
215	11357	4416
216	11405	4362
217	11463	4311
218	11512	4257
219	11567	4206
220	11619	4153
221	11669	4100
222	11718	4046
223	11777	3995
224	11833	3944
225	11894	3894
226	11943	3840
227	12003	3790
228	12050	3736
229	12101	3683
230	12152	3629
231	12204	3577
232	12258	3525
233	12310	3472
234	12364	3419
235	12417	3367
236	12472	3315
237	12519	3261
238	12568	3207
239	12622	3155
240	12674	3102
241	12727	3050
242	12783	2998
243	12836	2946
244	12894	2894
245	12951	2842
246	13011	2791
247	13063	2739
248	13112	2685
249	13164	2632
250	13219	2580
251	13278	2529
252	13332	2476
253	13382	2423
254	13435	2370
255	13489	2318
256	13538	2265
257	13590	2212
258	13639	2159
259	13689	2106
260	13746	2054
261	13803	2001
262	13855	1949
263	13911	1896
264	13961	1844
265	14018	1791
266	14065	1738
267	14120	1686
268	14169	1632
269	14224	1580
270	14283	1528
271	14343	1476
272	14392	1423
273	14442	1370
274	14498	1318
275	14554	1265
276	14611	1213
277	14659	1160
278	14711	1107
279	14766	1054
280	14818	1001
281	14873	949
282	14931	896
283	14995	844
284	15047	791
285	15107	739
286	15161	686
287	15224	634
288	15278	581
289	15330	528
290	15382	475
291	15436	422
292	15495	370
293	15550	317
294	15602	264
295	15656	211
296	15707	158
297	15757	105
298	15812	52
299	15862	0
